Brand,Stock Item,Qty,Stock Screen,Stock Quality,Model Matched,Amazon Status,Amazon SKU,Amazon Qty,Amazon Price,Listing Screen,Listing Quality,Title
Realme,Realme 8 CareOG,1,Not Specified,CareOG,Realme 8,Active,RM85GCARE,2,2789,Not Specified,CareOG,Compatible for Realme 8 (5G) CareOG Display+Touch Screen Combo Folder
Realme,Realme 7i Incell,1,Incell LCD,Standard,Realme 7i,Inactive,RM7i,0,2069,LCD,Standard,Compatible for Realme 7i LCD Display+Touch Screen Combo Folder
Realme,Realme 9 Incell,1,Incell LCD,Standard,Realme 9,Inactive,RM94G,0,2737,LCD,Standard,Compatible for Realme 9 (4G) (No Fingerprint Support) LCD Display+Touch Screen Combo Folde
Realme,Realme C33 Incell,1,Incell LCD,Standard,Realme C33,Inactive,RMEC33OG,0,1966,LCD,Standard,Compatible for Realme C33 LCD Display+Touch Screen Combo Folder
Realme,Realme 11 Pro CareOG,1,Not Specified,CareOG,Realme 11 Pro,Inactive,RLM11ProOG,0,4895,Not Specified,CareOG,Compatible for Realme 11 Pro CareOG (Fingerprint Support) Display+Touch Screen Combo Folde
Realme,Realme 9i Incell,1,Incell LCD,Standard,Realme 9i,Active,RME9iOG,1,2474,LCD,Standard,Compatible for Realme 9i (4G) LCD Display+Touch Screen Combo Folder
Realme,Realme C21 Incell,1,Incell LCD,Standard,Realme C21,Inactive,RMEC21OG,0,1966,LCD,Standard,Compatible for Realme C21 LCD Display+Touch Screen Combo Folder
Realme,Realme 8i Incell,1,Incell LCD,Standard,Realme 8i,Active,RME8IOG,100,2671,LCD,Standard,Compatible for Realme 8i LCD Display+Touch Screen Combo Folder
Realme,Realme 7 Pro Incell,1,Incell LCD,Standard,Realme 7 Pro,Active,RME7PROG,100,2050,LCD,Standard,Compatible for Realme 7 Pro (No Fingerprint Support) LCD Display+Touch Screen Combo Folder
Vivo,Vivo Y33s Incell,1,Incell LCD,Standard,Vivo Y33s,Inactive,Y33S,0,1932,LCD,Standard,Compatible for Vivo Y33s LCD Display+Touch Screen Combo Folder
Vivo,Vivo Y22 Incell,1,Incell LCD,Standard,Vivo Y22,Inactive,Y22,0,2148,LCD,Standard,Compatible for Vivo Y22/Y22s LCD Display+Touch Screen Combo Folder
Vivo,Vivo Y22 CareOG,1,Not Specified,CareOG,Vivo Y22,Active,Y22CARE,1,2462,Not Specified,CareOG,Compatible for Vivo Y22/Y22s CareOG Display+Touch Screen Combo Folder
Vivo,Vivo T1 CareOG,1,Not Specified,CareOG,Vivo T1,Inactive,T12021CARE,0,2737,Not Specified,CareOG,Compatible for Vivo T1 (2021) CareOG Display+Touch Screen Combo Folder
Vivo,Vivo T2x CareOG,1,Not Specified,CareOG,Vivo T2x,Inactive,T2XCARE,0,2886,Not Specified,CareOG,Compatible for Vivo T2x CareOG Display+Touch Screen Combo Folder
Vivo,Vivo V11 Pro CareOG,1,Not Specified,CareOG,Vivo V11 Pro,Inactive,V11PROLED,0,4596,Not Specified,CareOG,Compatible for Vivo V11 Pro (Fingerprint Support) CareOG Display+Touch Screen Combo Folder
Vivo,Vivo V17 CareOG,1,Not Specified,CareOG,Vivo V17,Inactive,V17CARE,0,7591,Not Specified,CareOG,Compatible for Vivo V17 (Fingerprint Support) CareOG Display+Touch Screen Combo Folder
Vivo,Vivo V15 CareOG,1,Not Specified,CareOG,Vivo V15,Inactive,V15CARE,0,2737,Not Specified,CareOG,Compatible for Vivo V15 CareOG Display+Touch Screen Combo Folder
Vivo,Vivo X80 CareOG,1,Not Specified,CareOG,Vivo X80,Inactive,VVX80OG,0,6104,Not Specified,CareOG,Compatible for Vivo X80 CareOG (Fingerprint Support) Display+Touch Screen Combo Folder
OnePlus,OnePlus 8 CareOG,2,Not Specified,CareOG,OnePlus 8,Inactive,1+8CARE,0,6412,Not Specified,CareOG,Compatible for OnePlus 8 (Fingerprint Support) CareOG Display+Touch Screen Combo Folder
OnePlus,OnePlus 10 Pro CareOG,1,Not Specified,CareOG,OnePlus 10 Pro,Inactive,1+10PROCARE,0,18488,Not Specified,CareOG,Compatible for OnePlus 10 Pro (Fingerprint Support) CareOG Display+Touch Screen Combo Fold
OnePlus,OnePlus 7 CareOG,1,Not Specified,CareOG,OnePlus 7,Inactive,1+7CARE,0,4889,Not Specified,CareOG,Compatible for OnePlus 7 (Fingerprint Support) CareOG Display+Touch Screen Combo Folder
OnePlus,OnePlus 7 Incell,1,Incell LCD,Standard,OnePlus 7,Active,OP7LCD,99,2850,LCD,Standard,Compatible for OnePlus 7 (No Fingerprint Support) LCD Display+Touch Screen Combo Folder
OnePlus,OnePlus 8 Pro Incell,1,Incell LCD,Standard,OnePlus 8 Pro,Inactive,1+8ProLCD,0,4048,LCD,Standard,Compatible for OnePlus 8 Pro LCD (No Fingerprint Support) Display+Touch Screen Combo Folde
OnePlus,OnePlus 10R Incell,1,Incell LCD,Standard,OnePlus 10R,Active,1+10RLCD,97,2428,LCD,Standard,Compatible for OnePlus 10R LCD (No Fingerprint Support) Display+Touch Screen Combo Folder
OnePlus,OnePlus 11R CareOG,1,Not Specified,CareOG,OnePlus 11R,Inactive,1+11RCARE,0,6748,Not Specified,CareOG,Compatible for OnePlus 11R (Fingerprint Support) CareOG Display+Touch Screen Combo Folder
OnePlus,OnePlus 9 CareOG,1,Not Specified,CareOG,OnePlus 9,Inactive,1+9CARE,0,8746,Not Specified,CareOG,Compatible for OnePlus 9 (Fingerprint Support) CareOG Display+Touch Screen Combo Folder
OnePlus,OnePlus Nord CE 2 Lite Incell,1,Incell LCD,Standard,OnePlus Nord CE 2 Lite,Active,P2-NAQO-T7PA,100,2469,LCD,Standard,Compatible for OnePlus Nord CE 2 Lite LCD Display+Touch Screen Combo Folder
Apple,iPhone 13 Incell,1,Incell LCD,Standard,Apple iPhone 13,Inactive,IP13OG,0,2790,LCD,Standard,Compatible for Apple iPhone 13 LCD Display+Touch Screen Combo Folder
Apple,iPhone 13 Pro Max Incell,1,Incell LCD,Standard,Apple iPhone 13 Pro Max,Inactive,IP13PMLCD,0,4139,LCD,Standard,Compatible for Apple iPhone 13 Pro Max LCD Display+Touch Screen Combo Folder
Apple,iPhone 11 Incell,1,Incell LCD,Standard,Apple iPhone 11,Inactive,IP11LCD,0,2427,LCD,Standard,Compatible for Apple iPhone 11 LCD Display+Touch Screen Combo Folder
Apple,iPhone 8 CareOG,1,Not Specified,CareOG,Apple iPhone 8,Inactive,IP8WCARE,0,2887,Not Specified,CareOG,Compatible for Apple iPhone 8 (White) CareOG Display+Touch Screen Combo Folder
Apple,iPhone 14 Pro Max Incell,1,Incell LCD,Standard,Apple iPhone 14 Pro Max,Inactive,IP14PMLCD,0,4650,LCD,Standard,Compatible for Apple iPhone 14 Pro Max LCD Display+Touch Screen Combo Folder
Samsung,Galaxy A31 Incell,1,Incell LCD,Standard,Samsung Galaxy A31,Active,A31,97,2049,LCD,Standard,Compatible for Samsung Galaxy A31 (No Fingerprint Support) LCD Display+Touch Screen Combo 
Samsung,Galaxy A30s Incell,2,Incell LCD,Standard,Samsung Galaxy A30s,Active,A30S,2,2298,LCD,Standard,Compatible for Samsung Galaxy A30s (No Fingerprint Support) LCD Display+Touch Screen Combo
Samsung,Galaxy A10 Incell,1,Incell LCD,Standard,Samsung Galaxy A10,Inactive,A10,0,1696,LCD,Standard,Compatible for Samsung Galaxy A10 LCD Display+Touch Screen Combo Folder
