Brand,Stock Name,Qty,Stock Screen,Stock Quality,Status,Amazon SKU,Amazon Qty,Amazon Price,Listing Screen,Listing Quality,Title
Realme,Realme C67 Incell,1,Incell LCD,Standard,ACTIVE,RLM10Pro+LCD,97,3239,LCD,Standard,Compatible for Realme 10 Pro+ LCD (No Fingerprint Support) Display+Touch Screen 
Realme,Realme 8 CareOG,1,Not Specified,CareOG,ACTIVE,RLM10Pro+LCD,97,3239,LCD,Standard,Compatible for Realme 10 Pro+ LCD (No Fingerprint Support) Display+Touch Screen 
Realme,Realme 7i Incell,1,Incell LCD,Standard,ACTIVE,RLM10Pro+LCD,97,3239,LCD,Standard,Compatible for Realme 10 Pro+ LCD (No Fingerprint Support) Display+Touch Screen 
Realme,Realme 9 Incell,1,Incell LCD,Standard,ACTIVE,RLM10Pro+LCD,97,3239,LCD,Standard,Compatible for Realme 10 Pro+ LCD (No Fingerprint Support) Display+Touch Screen 
Realme,Realme C33 Incell,1,Incell LCD,Standard,ACTIVE,RLM10Pro+LCD,97,3239,LCD,Standard,Compatible for Realme 10 Pro+ LCD (No Fingerprint Support) Display+Touch Screen 
Realme,Realme 11 Pro CareOG,1,Not Specified,CareOG,ACTIVE,RLM10Pro+LCD,97,3239,LCD,Standard,Compatible for Realme 10 Pro+ LCD (No Fingerprint Support) Display+Touch Screen 
Realme,Realme 9i Incell,1,Incell LCD,Standard,ACTIVE,RME9iOG,1,2474,LCD,Standard,Compatible for Realme 9i (4G) LCD Display+Touch Screen Combo Folder
Realme,Realme C21 Incell,1,Incell LCD,Standard,ACTIVE,RMEC21YOG,100,1915,LCD,Standard,Compatible for Realme C21Y LCD Display+Touch Screen Combo Folder
Realme,Realme C30 Incell,1,Incell LCD,Standard,ACTIVE,RLM10Pro+LCD,97,3239,LCD,Standard,Compatible for Realme 10 Pro+ LCD (No Fingerprint Support) Display+Touch Screen 
Realme,Realme C53 Incell,1,Incell LCD,Standard,ACTIVE,RMC53CARE,1,2736,Not Specified,CareOG,Compatible for Realme C53 CareOG Display+Touch Screen Combo Folder
Realme,Realme 8i Incell,1,Incell LCD,Standard,ACTIVE,RME8IOG,100,2671,LCD,Standard,Compatible for Realme 8i LCD Display+Touch Screen Combo Folder
Realme,Realme 13 Pro CareOG,1,Not Specified,CareOG,ACTIVE,RLM10Pro+LCD,97,3239,LCD,Standard,Compatible for Realme 10 Pro+ LCD (No Fingerprint Support) Display+Touch Screen 
Realme,Realme 3 Pro Frame,1,Not Specified,With Frame,ACTIVE,RLM10Pro+LCD,97,3239,LCD,Standard,Compatible for Realme 10 Pro+ LCD (No Fingerprint Support) Display+Touch Screen 
Realme,Realme 7 Pro Incell,1,Incell LCD,Standard,ACTIVE,RLM10Pro+LCD,97,3239,LCD,Standard,Compatible for Realme 10 Pro+ LCD (No Fingerprint Support) Display+Touch Screen 
Vivo,Vivo Y33s Incell,1,Incell LCD,Standard,ACTIVE,V15PRO,99,2475,LCD,Standard,Compatible for Vivo V15 Pro (No Fingerprint Support) LCD Display+Touch Screen Co
Vivo,Vivo Y22 Incell,1,Incell LCD,Standard,ACTIVE,Y22CARE,1,2462,Not Specified,CareOG,Compatible for Vivo Y22/Y22s CareOG Display+Touch Screen Combo Folder
Vivo,Vivo Y22 CareOG,1,Not Specified,CareOG,ACTIVE,Y22CARE,1,2462,Not Specified,CareOG,Compatible for Vivo Y22/Y22s CareOG Display+Touch Screen Combo Folder
Vivo,Vivo T1 CareOG,1,Not Specified,CareOG,ACTIVE,V15PRO,99,2475,LCD,Standard,Compatible for Vivo V15 Pro (No Fingerprint Support) LCD Display+Touch Screen Co
Vivo,Vivo T2x CareOG,1,Not Specified,CareOG,ACTIVE,V15PRO,99,2475,LCD,Standard,Compatible for Vivo V15 Pro (No Fingerprint Support) LCD Display+Touch Screen Co
Vivo,Vivo X70 Pro Plus CareOG,1,Not Specified,CareOG,ACTIVE,V15PRO,99,2475,LCD,Standard,Compatible for Vivo V15 Pro (No Fingerprint Support) LCD Display+Touch Screen Co
Vivo,Vivo V11 Pro CareOG,1,Not Specified,CareOG,ACTIVE,V15PRO,99,2475,LCD,Standard,Compatible for Vivo V15 Pro (No Fingerprint Support) LCD Display+Touch Screen Co
Vivo,Vivo V17 CareOG,1,Not Specified,CareOG,ACTIVE,V17LCD,100,3999,LCD,Standard,Compatible for Vivo V17 (No Fingerprint Support) LCD Display+Touch Screen Combo 
Vivo,Vivo V15 CareOG,1,Not Specified,CareOG,ACTIVE,V15PRO,99,2475,LCD,Standard,Compatible for Vivo V15 Pro (No Fingerprint Support) LCD Display+Touch Screen Co
Vivo,Vivo X80 CareOG,1,Not Specified,CareOG,ACTIVE,V15PRO,99,2475,LCD,Standard,Compatible for Vivo V15 Pro (No Fingerprint Support) LCD Display+Touch Screen Co
Oppo,F17 Pro OLED,1,OLED,Standard,ACTIVE,OPOF17PROG,100,2737,LCD,Standard,Compatible for Oppo F17 Pro (No Fingerprint Support) LCD Display+Touch Screen Co
Oppo,A53 CareOG,2,Not Specified,CareOG,ACTIVE,OPA535GCARE,1,2462,Not Specified,CareOG,Compatible for Oppo A53 (5G) CareOG Display+Touch Screen Combo Folder
Oppo,A57 5G CareOG,3,Not Specified,CareOG,ACTIVE,OPA57/57S4GCARE,1,2095,Not Specified,CareOG,Compatible for Oppo A57/A57s (4G) CareOG Display+Touch Screen Combo Folder
Oppo,F19 OLED,1,OLED,Standard,ACTIVE,OPF19/PROOG,100,2276,LCD,Standard,Compatible for Oppo F19/F19 Pro (No Fingerprint Support) LCD Display+Touch Scree
Oppo,A54 5G Incell,1,Incell LCD,Standard,ACTIVE,OPOA545GCARE,2,2182,Not Specified,CareOG,Compatible for Oppo A54 (5G) CareOG Display+Touch Screen Combo Folder
Oppo,F27 OLED,1,OLED,Standard,ACTIVE,OPF275GLCD,100,2799,LCD,Standard,Compatible for Oppo F27 5G LCD (No Fingerprint Support) Display+Touch Screen Com
Oppo,F9 Incell,1,Incell LCD,Standard,ACTIVE,OPF9/proOG,99,1768,LCD,Standard,Compatible for Oppo F9/F9 Pro LCD Display+Touch Screen Combo Folder
Oppo,Reno 10 Pro Plus CareOG,2,Not Specified,CareOG,ACTIVE,RNO2ZINCELL,1,2315,LCD,Standard,Compatible for Oppo Reno 2Z (No Fingerprint Support) LCD Display+Touch Screen Co
Oppo,F5 Frame,1,Not Specified,With Frame,ACTIVE,OPOF5BCARE,1,2474,Not Specified,CareOG,Compatible for Oppo F5 (Black) CareOG Display+Touch Screen Combo Folder
Oppo,F5 Incell,1,Incell LCD,Standard,ACTIVE,OPOF5BCARE,1,2474,Not Specified,CareOG,Compatible for Oppo F5 (Black) CareOG Display+Touch Screen Combo Folder
OnePlus,OnePlus 8 CareOG,2,Not Specified,CareOG,ACTIVE,1+10RLCD,97,2428,LCD,Standard,Compatible for OnePlus 10R LCD (No Fingerprint Support) Display+Touch Screen Com
OnePlus,OnePlus 10 Pro CareOG,1,Not Specified,CareOG,ACTIVE,1+10RLCD,97,2428,LCD,Standard,Compatible for OnePlus 10R LCD (No Fingerprint Support) Display+Touch Screen Com
OnePlus,OnePlus 7 CareOG,1,Not Specified,CareOG,ACTIVE,1+10RLCD,97,2428,LCD,Standard,Compatible for OnePlus 10R LCD (No Fingerprint Support) Display+Touch Screen Com
OnePlus,OnePlus 7 Incell,1,Incell LCD,Standard,ACTIVE,1+10RLCD,97,2428,LCD,Standard,Compatible for OnePlus 10R LCD (No Fingerprint Support) Display+Touch Screen Com
OnePlus,OnePlus 8 Pro Incell,1,Incell LCD,Standard,ACTIVE,1+10RLCD,97,2428,LCD,Standard,Compatible for OnePlus 10R LCD (No Fingerprint Support) Display+Touch Screen Com
OnePlus,OnePlus 10R Incell,1,Incell LCD,Standard,ACTIVE,1+10RLCD,97,2428,LCD,Standard,Compatible for OnePlus 10R LCD (No Fingerprint Support) Display+Touch Screen Com
OnePlus,OnePlus 11R CareOG,1,Not Specified,CareOG,ACTIVE,1+10RLCD,97,2428,LCD,Standard,Compatible for OnePlus 10R LCD (No Fingerprint Support) Display+Touch Screen Com
OnePlus,OnePlus Nord CareOG,1,Not Specified,CareOG,ACTIVE,NORD2UNI,96,2737,LCD,Standard,Compatible for OnePlus Nord 2 (No Fingerprint Support) LCD Display+Touch Screen 
OnePlus,OnePlus 9RT Incell,1,Incell LCD,Standard,ACTIVE,1+9RtLCD,2,2498,LCD,Standard,Compatible for OnePlus 9Rt LCD (No Fingerprint Support) Display+Touch Screen Com
OnePlus,OnePlus 9 CareOG,1,Not Specified,CareOG,ACTIVE,1+10RLCD,97,2428,LCD,Standard,Compatible for OnePlus 10R LCD (No Fingerprint Support) Display+Touch Screen Com
OnePlus,OnePlus Nord CE 2 Lite Incell,1,Incell LCD,Standard,ACTIVE,P2-NAQO-T7PA,100,2469,LCD,Standard,Compatible for OnePlus Nord CE 2 Lite LCD Display+Touch Screen Combo Folder
Apple,iPhone 13 Incell,1,Incell LCD,Standard,ACTIVE,IP13PMGX,1,10174,OLED,Standard,Compatible for Apple iPhone 13 Pro Max GX Amoled Display+Touch Screen Combo Fold
Apple,iPhone 13 Pro OLED,1,OLED,Standard,ACTIVE,IP13PMGX,1,10174,OLED,Standard,Compatible for Apple iPhone 13 Pro Max GX Amoled Display+Touch Screen Combo Fold
Apple,iPhone 13 Pro Max OLED,1,OLED,Standard,ACTIVE,IP13PMGX,1,10174,OLED,Standard,Compatible for Apple iPhone 13 Pro Max GX Amoled Display+Touch Screen Combo Fold
Apple,iPhone 13 Pro Max Incell,1,Incell LCD,Standard,ACTIVE,IP13PMGX,1,10174,OLED,Standard,Compatible for Apple iPhone 13 Pro Max GX Amoled Display+Touch Screen Combo Fold
Apple,iPhone 11 Pro Max OLED,1,OLED,Standard,ACTIVE,IP13PMGX,1,10174,OLED,Standard,Compatible for Apple iPhone 13 Pro Max GX Amoled Display+Touch Screen Combo Fold
Apple,iPhone 11 Incell,1,Incell LCD,Standard,ACTIVE,IP13PMGX,1,10174,OLED,Standard,Compatible for Apple iPhone 13 Pro Max GX Amoled Display+Touch Screen Combo Fold
Apple,iPhone 8 Plus Incell,1,Incell LCD,Standard,ACTIVE,IP13PMGX,1,10174,OLED,Standard,Compatible for Apple iPhone 13 Pro Max GX Amoled Display+Touch Screen Combo Fold
Apple,iPhone 8 CareOG,1,Not Specified,CareOG,ACTIVE,IP13PMGX,1,10174,OLED,Standard,Compatible for Apple iPhone 13 Pro Max GX Amoled Display+Touch Screen Combo Fold
Apple,iPhone XS Incell,1,Incell LCD,Standard,ACTIVE,IP13PMGX,1,10174,OLED,Standard,Compatible for Apple iPhone 13 Pro Max GX Amoled Display+Touch Screen Combo Fold
Apple,iPhone 14 Pro Max Incell,1,Incell LCD,Standard,ACTIVE,IP13PMGX,1,10174,OLED,Standard,Compatible for Apple iPhone 13 Pro Max GX Amoled Display+Touch Screen Combo Fold
Samsung,Galaxy A73 OLED,1,OLED,Standard,ACTIVE,79-BD48-06Y2,98,1699,LCD,Standard,Compatible for Samsung Galaxy A13 (4G) LCD Display+Touch Screen Combo Folder
Samsung,Galaxy A32 4G Incell,1,Incell LCD,Standard,ACTIVE,A324G,100,2050,LCD,Standard,Compatible for Samsung Galaxy A32 (4G) (No Fingerprint Support) LCD Display+Touc
Samsung,Galaxy A32 4G Incell,1,Incell LCD,Standard,ACTIVE,A324G,100,2050,LCD,Standard,Compatible for Samsung Galaxy A32 (4G) (No Fingerprint Support) LCD Display+Touc
Samsung,Galaxy A31 Incell,1,Incell LCD,Standard,ACTIVE,A31,97,2049,LCD,Standard,Compatible for Samsung Galaxy A31 (No Fingerprint Support) LCD Display+Touch Scr
Samsung,Galaxy S21 FE OLED,1,OLED,Standard,ACTIVE,79-BD48-06Y2,98,1699,LCD,Standard,Compatible for Samsung Galaxy A13 (4G) LCD Display+Touch Screen Combo Folder
Samsung,Galaxy S20 FE With Frame OLED,1,OLED,With Frame,ACTIVE,79-BD48-06Y2,98,1699,LCD,Standard,Compatible for Samsung Galaxy A13 (4G) LCD Display+Touch Screen Combo Folder
Samsung,Galaxy J7 Next Incell,3,Incell LCD,Standard,ACTIVE,GJ7NXTBLED,1,2938,OLED,Standard,Compatible for Samsung Galaxy J7 Nxt (Black) OLED Display+Touch Screen Combo Fol
Samsung,Galaxy J7 2016 Incell,1,Incell LCD,Standard,ACTIVE,GJ7NXTBLED,1,2938,OLED,Standard,Compatible for Samsung Galaxy J7 Nxt (Black) OLED Display+Touch Screen Combo Fol
Samsung,Galaxy J7 2015 Incell,1,Incell LCD,Standard,ACTIVE,J715GLED,1,3010,OLED,Standard,Compatible for Samsung Galaxy J7 (2015) (Gold) OLED Display+Touch Screen Combo F
Samsung,Galaxy A30s Incell,2,Incell LCD,Standard,ACTIVE,A30S,2,2298,LCD,Standard,Compatible for Samsung Galaxy A30s (No Fingerprint Support) LCD Display+Touch Sc
Samsung,Galaxy J7 Max Incell,1,Incell LCD,Standard,ACTIVE,GJ7NXTBLED,1,2938,OLED,Standard,Compatible for Samsung Galaxy J7 Nxt (Black) OLED Display+Touch Screen Combo Fol
Samsung,Galaxy A10 Incell,1,Incell LCD,Standard,ACTIVE,A10S,100,1966,LCD,Standard,Compatible for Samsung Galaxy A10s LCD Display+Touch Screen Combo Folder
XIAOMI/REDMI/POCO,Redmi Note 5 With Frame White,1,Not Specified,With Frame,ACTIVE,INFNOT10TFT,99,2040,TFT LCD,Standard,for Infinix Note 10 Compatible LCD/TFT - Display Screen Replacement Combo Folder
XIAOMI/REDMI/POCO,11X OLED,1,OLED,Standard,INACTIVE,Mi11i/11XOLED,0,4760,OLED,Standard,for Mi 11i/ 11X Compatible OLED - Display Screen Replacement Combo Folder
XIAOMI/REDMI/POCO,11X Incell,1,Incell LCD,Standard,INACTIVE,Mi11i/11XOLED,0,4760,OLED,Standard,for Mi 11i/ 11X Compatible OLED - Display Screen Replacement Combo Folder
XIAOMI/REDMI/POCO,Redmi 4A With Frame Incell Black,1,Incell LCD,With Frame,ACTIVE,LavaZ61B,100,2122,LCD,Standard,Compatible for Lava Z61 (Black) LCD Display+Touch Screen Combo Folder
XIAOMI/REDMI/POCO,A3 Incell,1,Incell LCD,Standard,INACTIVE,MIA3/A3XOG,0,1615,Not Specified,CareOG,for Redmi A3/ A3X Compatible CareOG - Display Screen Replacement Combo Folder
XIAOMI/REDMI/POCO,Redmi Note 10T With Frame,1,Not Specified,With Frame,ACTIVE,INFNOT10TFT,99,2040,TFT LCD,Standard,for Infinix Note 10 Compatible LCD/TFT - Display Screen Replacement Combo Folder
XIAOMI/REDMI/POCO,K20 Incell,1,Incell LCD,Standard,NOT LISTED,,,,,,
XIAOMI/REDMI/POCO,Redmi 12 With Frame,1,Not Specified,With Frame,INACTIVE,skybluechainbracelet,0,299,Not Specified,Standard,Handmade Bub Fashionable Desinger Customized Chain Phone Back Cover for Redmi No
XIAOMI/REDMI/POCO,Redmi 12 5G With Frame,1,Not Specified,With Frame,INACTIVE,skybluechainbracelet,0,299,Not Specified,Standard,Handmade Bub Fashionable Desinger Customized Chain Phone Back Cover for Redmi No
XIAOMI/REDMI/POCO,Redmi 13 Pro Plus With Frame,1,Not Specified,With Frame,ACTIVE,NAR30P,100,2737,LCD,Standard,Compatible for Narzo 30 Pro LCD Display+Touch Screen Combo Folder
XIAOMI/REDMI/POCO,Redmi 10 Power Incell,1,Incell LCD,Standard,ACTIVE,INFNOT10TFT,99,2040,TFT LCD,Standard,for Infinix Note 10 Compatible LCD/TFT - Display Screen Replacement Combo Folder
XIAOMI/REDMI/POCO,Redmi Note 6 Pro Incell,1,Incell LCD,Standard,ACTIVE,INFNOT10TFT,99,2040,TFT LCD,Standard,for Infinix Note 10 Compatible LCD/TFT - Display Screen Replacement Combo Folder
XIAOMI/REDMI/POCO,Redmi Note 7 Incell,1,Incell LCD,Standard,ACTIVE,INFNOT10TFT,99,2040,TFT LCD,Standard,for Infinix Note 10 Compatible LCD/TFT - Display Screen Replacement Combo Folder
XIAOMI/REDMI/POCO,Poco X3 Incell,1,Incell LCD,Standard,NOT LISTED,,,,,,
XIAOMI/REDMI/POCO,Poco M4 Incell,1,Incell LCD,Standard,NOT LISTED,,,,,,
Mixed,Nothing Phone 1 CareOG,1,Not Specified,CareOG,ACTIVE,IP13PMGX,1,10174,OLED,Standard,Compatible for Apple iPhone 13 Pro Max GX Amoled Display+Touch Screen Combo Fold
Mixed,Infinix Note 10 Incell,1,Incell LCD,Standard,ACTIVE,INFNOT10TFT,99,2040,TFT LCD,Standard,for Infinix Note 10 Compatible LCD/TFT - Display Screen Replacement Combo Folder
Mixed,Infinix Hot 9 Incell,1,Incell LCD,Standard,ACTIVE,HOT11PLAY,100,2276,LCD,Standard,Compatible for Infinix Hot 11 Play LCD Display+Touch Screen Combo Folder
Mixed,Infinix Note 11S Incell,1,Incell LCD,Standard,ACTIVE,INFNOT10TFT,99,2040,TFT LCD,Standard,for Infinix Note 10 Compatible LCD/TFT - Display Screen Replacement Combo Folder
Mixed,Honor 7X Incell,1,Incell LCD,Standard,ACTIVE,HNR7XW,1,1814,LCD,Standard,Compatible for Honor 7X (White) LCD Display+Touch Screen Combo Folder
Mixed,Honor 7X White Incell,1,Incell LCD,Standard,ACTIVE,HNR7XW,1,1814,LCD,Standard,Compatible for Honor 7X (White) LCD Display+Touch Screen Combo Folder
Mixed,Honor 8C Incell,1,Incell LCD,Standard,ACTIVE,HNR7XW,1,1814,LCD,Standard,Compatible for Honor 7X (White) LCD Display+Touch Screen Combo Folder
Mixed,Honor 8X Incell,1,Incell LCD,Standard,ACTIVE,HNR7XW,1,1814,LCD,Standard,Compatible for Honor 7X (White) LCD Display+Touch Screen Combo Folder
Mixed,Honor X9B Incell,1,Incell LCD,Standard,ACTIVE,HNR7XW,1,1814,LCD,Standard,Compatible for Honor 7X (White) LCD Display+Touch Screen Combo Folder
Mixed,Nokia G10 Incell,1,Incell LCD,Standard,ACTIVE,NKG10,1,2047,LCD,Standard,Compatible for Nokia G10 LCD Display+Touch Screen Combo Folder
Mixed,Nokia G20 Incell,2,Incell LCD,Standard,ACTIVE,NKG20,2,2462,LCD,Standard,Compatible for Nokia G20 LCD Display+Touch Screen Combo Folder
Mixed,Nokia G21 Incell,1,Incell LCD,Standard,ACTIVE,NKG10,1,2047,LCD,Standard,Compatible for Nokia G10 LCD Display+Touch Screen Combo Folder
Mixed,Nokia C3 Incell,1,Incell LCD,Standard,ACTIVE,NKG10,1,2047,LCD,Standard,Compatible for Nokia G10 LCD Display+Touch Screen Combo Folder
Mixed,Moto G9 Incell,1,Incell LCD,Standard,ACTIVE,MOTOG9,100,2474,LCD,Standard,Compatible for Motorola Moto G9/G9 Play LCD Display+Touch Screen Combo Folder
Mixed,Moto Edge 50 Fusion Incell,1,Incell LCD,Standard,ACTIVE,MOTO1F+,96,2605,LCD,Standard,Compatible for Motorola Moto One Fusion+ LCD Display+Touch Screen Combo Folder
Mixed,Moto G34 Frame,1,Not Specified,With Frame,ACTIVE,MOTO1F+,96,2605,LCD,Standard,Compatible for Motorola Moto One Fusion+ LCD Display+Touch Screen Combo Folder
Mixed,Asus Zenfone Max M2 Incell,1,Incell LCD,Standard,ACTIVE,ZFMXPROM1TFT,97,2148,LCD,Standard,Compatible for Asus Zenfone Max Pro M1 LCD Display+Touch Screen Combo Folder
Mixed,Asus ROG Phone 2 Incell,1,Incell LCD,Standard,ACTIVE,IP13PMGX,1,10174,OLED,Standard,Compatible for Apple iPhone 13 Pro Max GX Amoled Display+Touch Screen Combo Fold
