Brand,Stock Name,Qty,Stock Screen,Stock Quality,Confidence,Amazon Status,Amazon SKU,Amazon Qty,Amazon Price,Listing Screen,Listing Quality,Match Issue,Title
Realme,Realme C67 Incell,1,Incell LCD,Standard,LOW,Inactive,RLMC67WFOG,0,2969,Not Specified,CareOG,Multiple,Compatible for Realme C67 (with Frame) CareOG Display+Touch Screen Combo Folder
Realme,Realme 8 CareOG,1,Not Specified,CareOG,NONE,,,,,,,NOT LISTED,
Realme,Realme 7i Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Realme,Realme 9 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Realme,Realme C33 Incell,1,Incell LCD,Standard,HIGH,Inactive,RMEC33OG,0,1966,LCD,Standard,,Compatible for Realme C33 LCD Display+Touch Screen Combo Folder
Realme,Realme 11 Pro CareOG,1,Not Specified,CareOG,HIGH,Inactive,RLM11ProOG,0,4895,Not Specified,CareOG,,Compatible for Realme 11 Pro CareOG (Fingerprint Support) Display+Touch Screen C
Realme,Realme 9i Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Realme,Realme C21 Incell,1,Incell LCD,Standard,HIGH,Active,RMEC21YOG,100,1915,LCD,Standard,,Compatible for Realme C21Y LCD Display+Touch Screen Combo Folder
Realme,Realme C30 Incell,1,Incell LCD,Standard,LOW,Inactive,RLMC30SWFOG,0,2699,Not Specified,CareOG,Multiple,Compatible for Realme C30S (with Frame) CareOG Display+Touch Screen Combo Folder
Realme,Realme C53 Incell,1,Incell LCD,Standard,LOW,Active,RMC53CARE,1,2736,Not Specified,CareOG,Multiple,Compatible for Realme C53 CareOG Display+Touch Screen Combo Folder
Realme,Realme 8i Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Realme,Realme 13 Pro CareOG,1,Not Specified,CareOG,NONE,,,,,,,NOT LISTED,
Realme,Realme 3 Pro Frame,1,Not Specified,With Frame,MEDIUM,Inactive,RM3PCARE,0,2737,Not Specified,CareOG,Quality,Compatible for Realme 3 Pro CareOG Display+Touch Screen Combo Folder
Realme,Realme 7 Pro Incell,1,Incell LCD,Standard,HIGH,Active,RME7PROG,100,2050,LCD,Standard,,Compatible for Realme 7 Pro (No Fingerprint Support) LCD Display+Touch Screen Co
Vivo,Vivo Y33s Incell,1,Incell LCD,Standard,HIGH,Inactive,Y33S,0,1932,LCD,Standard,,Compatible for Vivo Y33s LCD Display+Touch Screen Combo Folder
Vivo,Vivo Y22 Incell,1,Incell LCD,Standard,HIGH,Inactive,Y22,0,2148,LCD,Standard,,Compatible for Vivo Y22/Y22s LCD Display+Touch Screen Combo Folder
Vivo,Vivo Y22 CareOG,1,Not Specified,CareOG,HIGH,Active,Y22CARE,1,2462,Not Specified,CareOG,,Compatible for Vivo Y22/Y22s CareOG Display+Touch Screen Combo Folder
Vivo,Vivo T1 CareOG,1,Not Specified,CareOG,NONE,,,,,,,NOT LISTED,
Vivo,Vivo T2x CareOG,1,Not Specified,CareOG,HIGH,Inactive,T2XCARE,0,2886,Not Specified,CareOG,,Compatible for Vivo T2x CareOG Display+Touch Screen Combo Folder
Vivo,Vivo X70 Pro Plus CareOG,1,Not Specified,CareOG,HIGH,Inactive,VVX70Pro+OG,0,8499,Not Specified,CareOG,,Compatible for Vivo X70 Pro+ CareOG (Fingerprint Support) Display+Touch Screen C
Vivo,Vivo V11 Pro CareOG,1,Not Specified,CareOG,HIGH,Inactive,V11PROLED,0,4596,Not Specified,CareOG,,Compatible for Vivo V11 Pro (Fingerprint Support) CareOG Display+Touch Screen Co
Vivo,Vivo V17 CareOG,1,Not Specified,CareOG,HIGH,Inactive,V17CARE,0,7591,Not Specified,CareOG,,Compatible for Vivo V17 (Fingerprint Support) CareOG Display+Touch Screen Combo 
Vivo,Vivo V15 CareOG,1,Not Specified,CareOG,HIGH,Inactive,V15CARE,0,2737,Not Specified,CareOG,,Compatible for Vivo V15 CareOG Display+Touch Screen Combo Folder
Vivo,Vivo X80 CareOG,1,Not Specified,CareOG,HIGH,Inactive,VVX80OG,0,6104,Not Specified,CareOG,,Compatible for Vivo X80 CareOG (Fingerprint Support) Display+Touch Screen Combo 
Oppo,F17 Pro OLED,1,OLED,Standard,LOW,Active,OPOF17PROG,100,2737,LCD,Standard,Multiple,Compatible for Oppo F17 Pro (No Fingerprint Support) LCD Display+Touch Screen Co
Oppo,A53 CareOG,2,Not Specified,CareOG,HIGH,Active,OPA535GCARE,1,2462,Not Specified,CareOG,,Compatible for Oppo A53 (5G) CareOG Display+Touch Screen Combo Folder
Oppo,A57 5G CareOG,3,Not Specified,CareOG,HIGH,Active,OPA57/57S4GCARE,1,2095,Not Specified,CareOG,,Compatible for Oppo A57/A57s (4G) CareOG Display+Touch Screen Combo Folder
Oppo,F19 OLED,1,OLED,Standard,LOW,Active,OPF19/PROOG,100,2276,LCD,Standard,Multiple,Compatible for Oppo F19/F19 Pro (No Fingerprint Support) LCD Display+Touch Scree
Oppo,A54 5G Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Oppo,F27 OLED,1,OLED,Standard,LOW,Active,OPF275GLCD,100,2799,LCD,Standard,Multiple,Compatible for Oppo F27 5G LCD (No Fingerprint Support) Display+Touch Screen Com
Oppo,F9 Incell,1,Incell LCD,Standard,HIGH,Active,OPF9/proOG,99,1768,LCD,Standard,,Compatible for Oppo F9/F9 Pro LCD Display+Touch Screen Combo Folder
Oppo,Reno 10 Pro Plus CareOG,2,Not Specified,CareOG,HIGH,Inactive,OPAssOG,0,2099,Not Specified,CareOG,,Compatible for Oppo Reno ACE CareOG Display+Touch Screen Combo Folder
Oppo,F5 Frame,1,Not Specified,With Frame,NONE,,,,,,,NOT LISTED,
Oppo,F5 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
OnePlus,OnePlus 8 CareOG,2,Not Specified,CareOG,NONE,,,,,,,NOT LISTED,
OnePlus,OnePlus 10 Pro CareOG,1,Not Specified,CareOG,HIGH,Inactive,1+10PROCARE,0,18488,Not Specified,CareOG,,Compatible for OnePlus 10 Pro (Fingerprint Support) CareOG Display+Touch Screen 
OnePlus,OnePlus 7 CareOG,1,Not Specified,CareOG,NONE,,,,,,,NOT LISTED,
OnePlus,OnePlus 7 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
OnePlus,OnePlus 8 Pro Incell,1,Incell LCD,Standard,HIGH,Inactive,1+8ProLCD,0,4048,LCD,Standard,,Compatible for OnePlus 8 Pro LCD (No Fingerprint Support) Display+Touch Screen C
OnePlus,OnePlus 10R Incell,1,Incell LCD,Standard,HIGH,Active,1+10RLCD,97,2428,LCD,Standard,,Compatible for OnePlus 10R LCD (No Fingerprint Support) Display+Touch Screen Com
OnePlus,OnePlus 11R CareOG,1,Not Specified,CareOG,HIGH,Inactive,1+11RCARE,0,6748,Not Specified,CareOG,,Compatible for OnePlus 11R (Fingerprint Support) CareOG Display+Touch Screen Com
OnePlus,OnePlus Nord CareOG,1,Not Specified,CareOG,HIGH,Inactive,CE2LYTCARE,0,2789,Not Specified,CareOG,,Compatible for OnePlus Nord CE 2 Lite CareOG Display+Touch Screen Combo Folder
OnePlus,OnePlus 9RT Incell,1,Incell LCD,Standard,HIGH,Active,1+9RtLCD,2,2498,LCD,Standard,,Compatible for OnePlus 9Rt LCD (No Fingerprint Support) Display+Touch Screen Com
OnePlus,OnePlus 9 CareOG,1,Not Specified,CareOG,NONE,,,,,,,NOT LISTED,
OnePlus,OnePlus Nord CE 2 Lite Incell,1,Incell LCD,Standard,HIGH,Active,NORD2UNI,96,2737,LCD,Standard,,Compatible for OnePlus Nord 2 (No Fingerprint Support) LCD Display+Touch Screen 
Apple,iPhone 13 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Apple,iPhone 13 Pro OLED,1,OLED,Standard,HIGH,Active,IP13PMGX,1,10174,OLED,Standard,,Compatible for Apple iPhone 13 Pro Max GX Amoled Display+Touch Screen Combo Fold
Apple,iPhone 13 Pro Max OLED,1,OLED,Standard,HIGH,Active,IP13PMGX,1,10174,OLED,Standard,,Compatible for Apple iPhone 13 Pro Max GX Amoled Display+Touch Screen Combo Fold
Apple,iPhone 13 Pro Max Incell,1,Incell LCD,Standard,HIGH,Inactive,IP13PMLCD,0,4139,LCD,Standard,,Compatible for Apple iPhone 13 Pro Max LCD Display+Touch Screen Combo Folder
Apple,iPhone 11 Pro Max OLED,1,OLED,Standard,HIGH,Inactive,11PMAXOLED,0,4588,OLED,Standard,,Compatible for Apple iPhone 11 Pro Max GX Amoled Display+Touch Screen Combo Fold
Apple,iPhone 11 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Apple,iPhone 8 Plus Incell,1,Incell LCD,Standard,LOW,Inactive,IPH8PBCARE,0,3464,Not Specified,CareOG,Multiple,Compatible for Apple iPhone 8 Plus (Black) CareOG Display+Touch Screen Combo Fol
Apple,iPhone 8 CareOG,1,Not Specified,CareOG,NONE,,,,,,,NOT LISTED,
Apple,iPhone XS Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Apple,iPhone 14 Pro Max Incell,1,Incell LCD,Standard,HIGH,Inactive,IP14PMLCD,0,4650,LCD,Standard,,Compatible for Apple iPhone 14 Pro Max LCD Display+Touch Screen Combo Folder
Samsung,Galaxy A73 OLED,1,OLED,Standard,LOW,Inactive,SAMA73CARE,0,6180,Not Specified,CareOG,Multiple,Compatible for Samsung Galaxy A73 (Fingerprint Support) CareOG Display+Touch Scr
Samsung,Galaxy A32 4G Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Samsung,Galaxy A32 4G Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Samsung,Galaxy A31 Incell,1,Incell LCD,Standard,HIGH,Active,A31,97,2049,LCD,Standard,,Compatible for Samsung Galaxy A31 (No Fingerprint Support) LCD Display+Touch Scr
Samsung,Galaxy S21 FE OLED,1,OLED,Standard,NONE,,,,,,,NOT LISTED,
Samsung,Galaxy S20 FE With Frame OLED,1,OLED,With Frame,HIGH,Inactive,GLXS20FeWFLED,0,4796,OLED,With Frame,,Compatible for Samsung Galaxy S20 FE (with Frame) Amoled (Fingerprint Support) D
Samsung,Galaxy J7 Next Incell,3,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Samsung,Galaxy J7 2016 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Samsung,Galaxy J7 2015 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Samsung,Galaxy A30s Incell,2,Incell LCD,Standard,HIGH,Active,A30S,2,2298,LCD,Standard,,Compatible for Samsung Galaxy A30s (No Fingerprint Support) LCD Display+Touch Sc
Samsung,Galaxy J7 Max Incell,1,Incell LCD,Standard,LOW,Inactive,J7MXBLED,0,2225,OLED,Standard,Multiple,Compatible for Samsung Galaxy J7 Max (2017) (Black) OLED Display+Touch Screen Co
Samsung,Galaxy A10 Incell,1,Incell LCD,Standard,HIGH,Active,A10S,100,1966,LCD,Standard,,Compatible for Samsung Galaxy A10s LCD Display+Touch Screen Combo Folder
XIAOMI/REDMI/POCO,Redmi Note 5 With Frame White,1,Not Specified,With Frame,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,11X OLED,1,OLED,Standard,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,11X Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,Redmi 4A With Frame Incell Black,1,Incell LCD,With Frame,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,A3 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,Redmi Note 10T With Frame,1,Not Specified,With Frame,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,K20 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,Redmi 12 With Frame,1,Not Specified,With Frame,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,Redmi 12 5G With Frame,1,Not Specified,With Frame,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,Redmi 13 Pro Plus With Frame,1,Not Specified,With Frame,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,Redmi 10 Power Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,Redmi Note 6 Pro Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,Redmi Note 7 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,Poco X3 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
XIAOMI/REDMI/POCO,Poco M4 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Nothing Phone 1 CareOG,1,Not Specified,CareOG,NONE,,,,,,,NOT LISTED,
Mixed,Infinix Note 10 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Infinix Hot 9 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Infinix Note 11S Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Honor 7X Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Honor 7X White Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Honor 8C Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Honor 8X Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Honor X9B Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Nokia G10 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Nokia G20 Incell,2,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Nokia G21 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Nokia C3 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Moto G9 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Moto Edge 50 Fusion Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Moto G34 Frame,1,Not Specified,With Frame,NONE,,,,,,,NOT LISTED,
Mixed,Asus Zenfone Max M2 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
Mixed,Asus ROG Phone 2 Incell,1,Incell LCD,Standard,NONE,,,,,,,NOT LISTED,
